Ticker,Sector
GPIL-EQ.NS,NO
CARERATING.NS,Financial Services
SFCL.NS,NO
ANGIND.NS,NO
SANGHVIFOR.NS,NO
BLKASHYAP.NS,Industrials
COX&KINGS.NS,Consumer Cyclical
ANGIND-EQ.NS,NO
TGBHOTELS.NS,Consumer Cyclical
JPOLYINVST-EQ.NS,NO
TEXMOPIPES-EQ.NS,NO
CARERATING-EQ.NS,NO
WELINV.NS,Financial Services
APTECHT.NS,Consumer Defensive
APOLSINHOT.NS,Consumer Cyclical
APLAPOLLO.NS,Basic Materials
APARINDS.NS,Industrials
ELAND.NS,NO
MOMAI-SM.NS,NO
APCOTEXIND-EQ.NS,NO
APOLLOHOSP-EQ.NS,NO
APOLLOTYRE.NS,Consumer Cyclical
APCOTEXIND.NS,Basic Materials
APOLLOHOSP.NS,Healthcare
BUTTERFLY.NS,Consumer Cyclical
APOLLOTYRE-EQ.NS,NO
APOLSINHOT-BE.NS,NO
GUJAPOLLO.NS,Industrials
APOLSINHOT-EQ.NS,NO
IPAPPM-EQ.NS,NO
ELAND-EQ.NS,NO
PANASONIC.NS,NO
APLAB-BE.NS,NO
ARSHIYA.NS,Industrials
ARSSINFRA.NS,Industrials
ARIHANT.NS,Financial
ARCHIES.NS,Consumer Cyclical
ARCHIDPLY.NS,Basic Materials
THIRUSUGAR.NS,Consumer Defensive
ARIHANT-EQ.NS,NO
ARVINDREM-EQ.NS,NO
INTELLECT-EQ.NS,NO
MUKTAARTS-EQ.NS,NO
GILLANDERS-EQ.NS,NO
ARVINFRA-EQ.NS,NO
ARVINDREM-BZ.NS,NO
ARVINFRA-BE.NS,NO
AROGRANITE.NS,Industrials
ARROWCOAT-EQ.NS,NO
ARVINDREM.NS,NO
INTELLECT.NS,Technology
ARCOTECH.NS,Industrials
ARVIND.NS,Consumer Cyclical
ARCHIES-EQ.NS,NO
MUKTAARTS.NS,Communication Services
ARROWCOAT.NS,NO
ARVINFRA.NS,NO
AROGRANITE-EQ.NS,NO
ARROWTEX-EQ.NS,NO
ARROWTEX.NS,NO
GILLANDERS.NS,Industrials
ARCOTECH-EQ.NS,NO
ASIANPAINT.NS,Basic Materials
ASTEC.NS,Basic Materials
ASSAMCO.NS,NO
ASAL.NS,Consumer Cyclical
EIHAHOTELS.NS,Consumer Cyclical
BSLNIFTY-EQ.NS,NO
ASIANHOTNR.NS,Consumer Cyclical
DWSHYD13GP-MF.NS,NO
ASHAPURMIN.NS,Basic Materials
ASTRAMICRO.NS,Technology
DWSFMP66RG-MF.NS,NO
ASIANELEC-BZ.NS,NO
H37131JDG2-MF.NS,NO
UTIFEFRGR2-MF.NS,NO
BSLCAP19RG-MF.NS,NO
SMCSRVRD-MF.NS,NO
BSLRGES1RD-MF.NS,NO
ASHAPURMIN-EQ.NS,NO
HRGESSRG1-MF.NS,NO
ASTRAZEN.NS,Healthcare
H37027ARG4-MF.NS,NO
